date,channel,video_id,title,privacy,publish_at,views,likes,comments,subs,channel_views
2026-08-03,Lulla's Moonlit Garden,B7LUUqPjNYg,"Time for Bed, Little Light 🌙 Bedtime Routine Song for Toddlers | Lulla's Moonlit Garden",public,,1,0,0,0,0
2026-08-03,Lulla's Moonlit Garden,KGh-hbdvrGE,"Little Light, Goodnight 🌙 Calm Bedtime Songs for Babies | Lulla's Moonlit Garden",public,,3,0,0,0,0
2026-08-03,Lulla's Moonlit Garden,fBLAEbxPv5s,Breathe with Lulla 🌙 Calm Down Song for Toddlers (Big Feelings) | Lulla's Moonlit Garden,private,2026-08-05T10:30:00Z,0,0,0,0,0
2026-08-03,Lulla's Moonlit Garden,Mjhz4DGTZHU,Sleepy Little Colors 🌙 Calm Colors Song for Babies at Bedtime | Lulla's Moonlit Garden,private,2026-08-06T10:30:00Z,1,0,0,0,0
2026-08-03,Lulla's Moonlit Garden,jQBezjCjZUI,"Goodnight, Little Garden 🌙 Bedtime Goodnight Song for Babies | Lulla's Moonlit Garden",private,2026-08-04T10:30:00Z,0,0,0,0,0
2026-08-03,Lulla's Moonlit Garden,hfwxEYiVYTA,Count the Fireflies 🌙 Calm Counting Song for Babies to Sleep | Lulla's Moonlit Garden,private,2026-08-03T10:30:00Z,0,0,0,0,0
2026-08-03,Learn with Poly,gBbXLpQd_NI,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,public,,6,0,0,0,0
2026-08-03,Learn with Poly,PJAxZeO-sQQ,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,unlisted,,1,0,0,0,0
2026-08-03,Learn with Poly,nx2reVTjydU,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,private,,0,0,0,0,0
2026-08-03,Learn with Poly,6tqf75hpXJg,"Say Hello in 5 Languages! 👋 Spanish, French, German & Hindi for Kids | Learn with Poly",public,,2,0,0,0,0
2026-08-03,Rumble Trucks,bqTjcsS1shM,Monster Truck Song 🚗💨 Rev's Big Jump! | Trucks for Kids · Rumble Trucks,public,,5,0,0,0,0
2026-08-03,AI Unpacked,pSpkEbSiTHU,Claude Code Forgets EVERYTHING! (1 File Fixes It Forever) 🛑,public,,88,1,0,1,0
2026-08-03,AI Unpacked,xwgEF4W5Qzc,Claude Burns Your Tokens — Do THIS Instead 🪙 (Save Money + Speed),private,2026-08-05T10:30:00Z,2,0,0,1,0
2026-08-03,AI Unpacked,Y8MdxiUgkbo,You're Using The WRONG Claude Model! (Switch In 1 Click) 🛑,public,,109,1,0,1,0
2026-08-03,AI Unpacked,Qn_fq2PVV9M,"Claude Just Got SKILLS! (Teach It Once, It's Expert Forever) 🤯",private,2026-08-04T10:30:00Z,0,0,0,1,0
2026-08-03,AI Unpacked,Q45WV2CWf9g,You Type The SAME Prompt Every Day! (Save It As A Command) 🛑,private,2026-08-03T10:30:00Z,0,0,0,1,0
2026-08-03,Aashiqana,b2iU72mI8Q4,Baarish Aur Tum 🌧️❤️ | Hindi Romantic Song #Shorts,public,,52,4,0,0,0
2026-08-03,Aashiqana,XmbelUl76V8,Baarish Aur Tum 🌧️❤️ | Heart-Touching Hindi Romantic Song | Aashiqana,public,,1,0,0,0,0
2026-08-04,Lulla's Moonlit Garden,jQBezjCjZUI,"Goodnight, Little Garden 🌙 Bedtime Goodnight Song for Babies | Lulla's Moonlit Garden",public,,0,0,0,0,4
2026-08-04,Lulla's Moonlit Garden,hfwxEYiVYTA,Count the Fireflies 🌙 Calm Counting Song for Babies to Sleep | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-04,Lulla's Moonlit Garden,B7LUUqPjNYg,"Time for Bed, Little Light 🌙 Bedtime Routine Song for Toddlers | Lulla's Moonlit Garden",public,,1,0,0,0,4
2026-08-04,Lulla's Moonlit Garden,KGh-hbdvrGE,"Little Light, Goodnight 🌙 Calm Bedtime Songs for Babies | Lulla's Moonlit Garden",public,,3,0,0,0,4
2026-08-04,Lulla's Moonlit Garden,fBLAEbxPv5s,Breathe with Lulla 🌙 Calm Down Song for Toddlers (Big Feelings) | Lulla's Moonlit Garden,private,2026-08-05T10:30:00Z,0,0,0,0,4
2026-08-04,Lulla's Moonlit Garden,Mjhz4DGTZHU,Sleepy Little Colors 🌙 Calm Colors Song for Babies at Bedtime | Lulla's Moonlit Garden,private,2026-08-06T10:30:00Z,1,0,0,0,4
2026-08-04,Learn with Poly,gBbXLpQd_NI,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,public,,7,0,0,0,10
2026-08-04,Learn with Poly,PJAxZeO-sQQ,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,unlisted,,1,0,0,0,10
2026-08-04,Learn with Poly,nx2reVTjydU,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,private,,0,0,0,0,10
2026-08-04,Learn with Poly,6tqf75hpXJg,"Say Hello in 5 Languages! 👋 Spanish, French, German & Hindi for Kids | Learn with Poly",public,,3,0,0,0,10
2026-08-04,Rumble Trucks,bqTjcsS1shM,Monster Truck Song 🚗💨 Rev's Big Jump! | Trucks for Kids · Rumble Trucks,public,,5,0,0,0,5
2026-08-04,AI Unpacked,YrjPbZK28Oo,"Those 20 ""Secret"" Claude Commands? FAKE 🤫 (Here's The Real Trick) | Ep 11",private,2026-08-11T10:30:00Z,2,0,0,3,402
2026-08-04,AI Unpacked,Qn_fq2PVV9M,"Claude Just Got SKILLS! (Teach It Once, It's Expert Forever) 🤯 | Ep 4",public,,91,2,0,3,402
2026-08-04,AI Unpacked,cMvgljptrHw,Cut Your AI Bill In Half (Most People Miss This) 💸 | Ep 10,private,2026-08-10T10:30:00Z,1,0,0,3,402
2026-08-04,AI Unpacked,wCLwsYKmIwA,Claude Has A DESKTOP App (Most People Miss It) 🖥️ | Ep 9,private,2026-08-09T10:30:00Z,2,0,0,3,402
2026-08-04,AI Unpacked,369SVWp1zbI,"The Effort Dial Nobody Uses (Deeper Answers, Free) 🧠 | Ep 8",private,2026-08-08T10:30:00Z,4,0,0,3,402
2026-08-04,AI Unpacked,AjlIpsRV1Xo,Stop Letting Claude Wreck Your Files (Plan Mode) 🛑 | Ep 7,private,2026-08-07T10:30:00Z,2,0,0,3,402
2026-08-04,AI Unpacked,ym3I9f7PUd0,Fast vs Deep — Stop Overpaying For AI Answers ⚡ | Ep 6,private,2026-08-06T10:30:00Z,1,0,0,3,402
2026-08-04,AI Unpacked,Q45WV2CWf9g,You Type The SAME Prompt Every Day! (Save It As A Command) 🛑 | Ep 3,public,,147,1,0,3,402
2026-08-04,AI Unpacked,pSpkEbSiTHU,Claude Code Forgets EVERYTHING! (1 File Fixes It Forever) 🛑 | Ep 2,public,,117,1,0,3,402
2026-08-04,AI Unpacked,xwgEF4W5Qzc,Claude Burns Your Tokens — Do THIS Instead 🪙 (Save Money + Speed) | Ep 5,private,2026-08-05T10:30:00Z,2,0,0,3,402
2026-08-04,AI Unpacked,Y8MdxiUgkbo,You're Using The WRONG Claude Model! (Switch In 1 Click) 🛑 | Ep 1,public,,140,1,0,3,402
2026-08-04,Aashiqana,TMVJHHv7v4c,Aaja Ve 🥀 golden hour hits different | New Hindi Love Song,public,,44,1,0,1,61
2026-08-04,Aashiqana,ZQQvRrGWGLk,Aaja Ve 🥀 | New Hindi Love Song 2026 | Golden Hour Romantic Song,public,,7,0,0,1,61
2026-08-04,Aashiqana,1yWfA_Tg61Y,Tu Hi Hai 🌧️❤️ | Hindi Romantic Song #Shorts,public,,40,0,0,1,61
2026-08-04,Aashiqana,TRmiRnKEKJc,Tu Hi Hai (Baarish Aur Tum) 🌧️❤️ | Hindi Romantic Song | Aashiqana,public,,2,0,0,1,61
2026-08-04,Aashiqana,4EgwUVBN7Ng,"🗑️ DELETE — karaoke v2 (drift, superseded)",private,,1,0,0,1,61
2026-08-04,Aashiqana,_HNZAhV2a_c,🗑️ DELETE — static lyrics (superseded by karaoke),private,,1,0,0,1,61
2026-08-05,Lulla's Moonlit Garden,fBLAEbxPv5s,Breathe with Lulla 🌙 Calm Down Song for Toddlers (Big Feelings) | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-05,Lulla's Moonlit Garden,jQBezjCjZUI,"Goodnight, Little Garden 🌙 Bedtime Goodnight Song for Babies | Lulla's Moonlit Garden",public,,0,0,0,0,4
2026-08-05,Lulla's Moonlit Garden,hfwxEYiVYTA,Count the Fireflies 🌙 Calm Counting Song for Babies to Sleep | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-05,Lulla's Moonlit Garden,B7LUUqPjNYg,"Time for Bed, Little Light 🌙 Bedtime Routine Song for Toddlers | Lulla's Moonlit Garden",public,,1,0,0,0,4
2026-08-05,Lulla's Moonlit Garden,KGh-hbdvrGE,"Little Light, Goodnight 🌙 Calm Bedtime Songs for Babies | Lulla's Moonlit Garden",public,,3,0,0,0,4
2026-08-05,Lulla's Moonlit Garden,Mjhz4DGTZHU,Sleepy Little Colors 🌙 Calm Colors Song for Babies at Bedtime | Lulla's Moonlit Garden,private,2026-08-06T10:30:00Z,1,0,0,0,4
2026-08-05,Learn with Poly,gBbXLpQd_NI,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,public,,7,0,0,0,10
2026-08-05,Learn with Poly,PJAxZeO-sQQ,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,unlisted,,1,0,0,0,10
2026-08-05,Learn with Poly,nx2reVTjydU,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,private,,0,0,0,0,10
2026-08-05,Learn with Poly,6tqf75hpXJg,"Say Hello in 5 Languages! 👋 Spanish, French, German & Hindi for Kids | Learn with Poly",public,,3,0,0,0,10
2026-08-05,Rumble Trucks,bqTjcsS1shM,Monster Truck Song 🚗💨 Rev's Big Jump! | Trucks for Kids · Rumble Trucks,public,,7,0,0,0,6
2026-08-05,AI Unpacked,gJEP-90DWLc,Everyone Knows You Used AI — One Line Fixes It ✍️,private,2026-08-11T10:30:00Z,0,0,0,3,519
2026-08-05,AI Unpacked,qS-VzOsMFiA,I Built an AI Factory That Makes My Videos 🏭 (It Made This One),private,2026-08-06T10:30:00Z,4,0,0,3,519
2026-08-05,AI Unpacked,BlQ-gDzw1aE,Everyone Knows You Used AI — One Line Fixes It ✍️,private,2026-08-12T10:30:00Z,1,0,0,3,519
2026-08-05,AI Unpacked,o7OR8DmBS3k,The Best AI Just Got Cheaper (You're Overpaying) 💸,public,,8,0,0,3,519
2026-08-05,AI Unpacked,YrjPbZK28Oo,"Those 20 ""Secret"" Claude Commands? FAKE 🤫 (Here's The Real Trick) | Ep 11",private,2026-08-11T10:30:00Z,2,0,0,3,519
2026-08-05,AI Unpacked,Qn_fq2PVV9M,"Claude Just Got SKILLS! (Teach It Once, It's Expert Forever) 🤯 | Ep 4",public,,120,2,0,3,519
2026-08-05,AI Unpacked,cMvgljptrHw,Cut Your AI Bill In Half (Most People Miss This) 💸 | Ep 10,private,2026-08-10T10:30:00Z,1,0,0,3,519
2026-08-05,AI Unpacked,wCLwsYKmIwA,Claude Has A DESKTOP App (Most People Miss It) 🖥️ | Ep 9,private,2026-08-09T10:30:00Z,2,0,0,3,519
2026-08-05,AI Unpacked,369SVWp1zbI,"The Effort Dial Nobody Uses (Deeper Answers, Free) 🧠 | Ep 8",private,2026-08-08T10:30:00Z,4,0,0,3,519
2026-08-05,AI Unpacked,AjlIpsRV1Xo,Stop Letting Claude Wreck Your Files (Plan Mode) 🛑 | Ep 7,private,2026-08-07T10:30:00Z,2,0,0,3,519
2026-08-05,AI Unpacked,ym3I9f7PUd0,Fast vs Deep — Stop Overpaying For AI Answers ⚡ | Ep 6,private,2026-08-06T10:30:00Z,1,0,0,3,519
2026-08-05,AI Unpacked,Q45WV2CWf9g,You Type The SAME Prompt Every Day! (Save It As A Command) 🛑 | Ep 3,public,,145,1,0,3,519
2026-08-05,AI Unpacked,pSpkEbSiTHU,Claude Code Forgets EVERYTHING! (1 File Fixes It Forever) 🛑 | Ep 2,public,,115,1,0,3,519
2026-08-05,AI Unpacked,xwgEF4W5Qzc,Claude Burns Your Tokens — Do THIS Instead 🪙 (Save Money + Speed) | Ep 5,unlisted,,2,0,0,3,519
2026-08-05,AI Unpacked,Y8MdxiUgkbo,You're Using The WRONG Claude Model! (Switch In 1 Click) 🛑 | Ep 1,public,,142,1,0,3,519
2026-08-05,Aashiqana,aT5c5fJ38WM,"Tu Hi Hai (Baarish Aur Tum) — ""Baarish ban ke tu, mujh mein barasta ja"" | Aashiqana",private,2026-08-05T15:10:00Z,0,0,0,1,94
2026-08-05,Aashiqana,n99gzIbFrpc,"बारिश और तुम — Baarish ban ke tu, mujh mein barasta ja 🌧️ #shorts",private,2026-08-06T10:30:00Z,0,0,0,1,94
2026-08-05,Aashiqana,TMVJHHv7v4c,Aaja Ve 🥀 golden hour hits different | New Hindi Love Song,public,,55,1,0,1,94
2026-08-05,Aashiqana,ZQQvRrGWGLk,Aaja Ve 🥀 | New Hindi Love Song 2026 | Golden Hour Romantic Song,public,,19,0,0,1,94
2026-08-05,Aashiqana,1yWfA_Tg61Y,Tu Hi Hai 🌧️❤️ | Hindi Romantic Song #Shorts,public,,37,0,0,1,94
2026-08-05,Aashiqana,TRmiRnKEKJc,Tu Hi Hai (Baarish Aur Tum) 🌧️❤️ | Hindi Romantic Song | Aashiqana,public,,2,0,0,1,94
2026-08-05,Aashiqana,4EgwUVBN7Ng,"🗑️ DELETE — karaoke v2 (drift, superseded)",private,,0,0,0,1,94
2026-08-05,Aashiqana,_HNZAhV2a_c,🗑️ DELETE — static lyrics (superseded by karaoke),private,,1,0,0,1,94
2026-08-06,Lulla's Moonlit Garden,Mjhz4DGTZHU,Sleepy Little Colors 🌙 Calm Colors Song for Babies at Bedtime | Lulla's Moonlit Garden,public,,1,0,0,0,4
2026-08-06,Lulla's Moonlit Garden,fBLAEbxPv5s,Breathe with Lulla 🌙 Calm Down Song for Toddlers (Big Feelings) | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-06,Lulla's Moonlit Garden,jQBezjCjZUI,"Goodnight, Little Garden 🌙 Bedtime Goodnight Song for Babies | Lulla's Moonlit Garden",public,,0,0,0,0,4
2026-08-06,Lulla's Moonlit Garden,hfwxEYiVYTA,Count the Fireflies 🌙 Calm Counting Song for Babies to Sleep | Lulla's Moonlit Garden,public,,0,0,0,0,4
2026-08-06,Lulla's Moonlit Garden,B7LUUqPjNYg,"Time for Bed, Little Light 🌙 Bedtime Routine Song for Toddlers | Lulla's Moonlit Garden",public,,1,0,0,0,4
2026-08-06,Lulla's Moonlit Garden,KGh-hbdvrGE,"Little Light, Goodnight 🌙 Calm Bedtime Songs for Babies | Lulla's Moonlit Garden",public,,3,0,0,0,4
2026-08-06,Learn with Poly,gBbXLpQd_NI,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,public,,8,0,0,0,11
2026-08-06,Learn with Poly,PJAxZeO-sQQ,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,unlisted,,1,0,0,0,11
2026-08-06,Learn with Poly,nx2reVTjydU,Count to 5 in Spanish! 🔢 Uno Dos Tres Counting Song for Kids | Poly the Parrot,private,,0,0,0,0,11
